,,Category,0
0,0,0,-0.13679203454914993
0,1,0,0.06063457370083113
0,2,0,0.04409635979493413
0,3,0,-0.07125680886674646
1,0,0,-0.30070691365468494
1,1,0,-0.18531609024240633
1,2,0,0.07639619485005174
1,3,0,0.12977691502363048
2,0,0,-0.04541443122590354
2,1,0,0.06788560330606287
2,2,0,0.13866505960722791
2,3,0,-0.02307678252833301
3,0,0,-0.17553316859826748
3,1,0,0.01157767943230791
3,2,0,0.13767317313479818
3,3,0,0.01488677439647
4,0,0,-0.19086200465663208
4,1,0,0.07677786968215052
4,2,0,0.04944791903026764
4,3,0,0.024624195466445644
5,0,0,-0.2291823355999367
5,1,0,-0.1715845912495337
5,2,0,0.0752063971274961
5,3,0,0.028314834668360867
6,0,0,-0.18115187686957107
6,1,0,-0.14753431041990558
6,2,0,0.041334758957453144
6,3,0,-0.06445118400701479
7,0,0,-0.20943492253779794
7,1,0,0.04998305031937844
7,2,0,0.10196598652313238
7,3,0,-0.0021887242816111185
8,0,0,-0.19101962250171067
8,1,0,-0.11478560217255968
8,2,0,0.17414428852165106
8,3,0,-0.03849774348475903
9,0,0,-0.09231947024761482
9,1,0,0.05846592830457042
9,2,0,0.07593960751685967
9,3,0,0.007879363307485022
10,0,0,0.002306031511389077
10,1,0,0.09074590977284672
10,2,0,-0.0014439608410553896
10,3,0,0.024517039427806794
11,0,0,-0.1398299964716122
11,1,0,-0.007117086823262675
11,2,0,0.10166716303472005
11,3,0,-0.015344627935535123
12,0,0,-0.15688721015592033
12,1,0,0.11980047032390453
12,2,0,0.008761257576259705
12,3,0,-0.01623094234479197
13,0,0,-0.21424317901889173
13,1,0,0.09515985334637346
13,2,0,0.14851499903903065
13,3,0,-0.04177896495277539
14,0,0,-0.13347942475283675
14,1,0,0.020449123883351086
14,2,0,0.15060514561051666
14,3,0,0.008136582224608155
15,0,0,-0.10506049615306365
15,1,0,0.18653354110660725
15,2,0,0.27614345285882236
15,3,0,0.08151823608789881
16,0,0,-0.15658462578261367
16,1,0,-0.09068799731173796
16,2,0,0.030339485531785976
16,3,0,0.11536311874291245
17,0,0,-0.26627183376536684
17,1,0,0.22943738739351371
17,2,0,0.04453022367014192
17,3,0,0.10799751324936938
18,0,0,-0.13225216144869484
18,1,0,-0.010056958875840495
18,2,0,0.13619331847076985
18,3,0,-0.006683066544234978
19,0,0,-0.20643900377309232
19,1,0,0.1734462713882119
19,2,0,0.09631751853788414
19,3,0,-0.06346587694077045
20,0,0,-0.12805367422139702
20,1,0,0.0464055530884309
20,2,0,0.1948078506066424
