,area P1,perc_p1,area N1,perc_n1,area N2,perc_n2,area P3,perc_p3
0,0.005089652155483958,0.076,-0.012431839080870343,0.124,-0.011207920766466744,0.236,0.04654088694205791,0.324
1,0.05846129949916476,0.064,0.0,0.104,0.0,0.204,0.1416288237557495,0.256
2,0.014221424074216341,0.136,0.0,0.104,-0.02821364504617038,0.236,0.05710889659706009,0.368
3,0.023666056096391476,0.08,0.0,0.104,-0.008501655573647775,0.28,0.05838481523296079,0.456
4,0.010235712498230437,0.144,-0.005583764006498192,0.104,-0.0010333698415314978,0.26,0.03180027353835532,0.3
5,0.013843874371681667,0.14,-0.0021332630926758486,0.104,0.0,0.204,0.1762842959999878,0.256
6,0.0072314580271120674,0.068,-0.0015321405539763422,0.124,0.0,0.204,0.16460659103785555,0.32
7,0.006129593437893441,0.144,-0.0005894802626391669,0.112,-0.003450174109073246,0.268,0.03184665692429582,0.348
8,0.02187842809455659,0.056,0.0,0.104,-0.0034066615500465097,0.24,0.1481083588863894,0.404
9,0.0166170382105412,0.056,0.0,0.104,-0.020417018535562673,0.236,0.04546997809485685,0.296
10,0.011680697192697874,0.084,0.0,0.104,-0.024809753569809537,0.228,0.04094159289432135,0.296
11,0.006904050867990797,0.12,0.0,0.104,-0.01157701244988576,0.276,0.07832609684814118,0.444
12,0.010897334730127788,0.056,-0.005935747319577037,0.132,-0.004358765790328586,0.26,0.015127193998987083,0.504
13,0.011168784468067317,0.076,-0.004409190002876163,0.128,-0.018315688989971275,0.264,0.04877565225911786,0.648
14,0.014421129524354367,0.14,0.0,0.104,-0.010527392696741461,0.276,0.06628839881129486,0.476
15,0.03613665903366244,0.132,0.0,0.104,-0.043639774960634974,0.244,0.0010413751915267445,0.536
16,0.030042336080408894,0.1,0.0,0.104,0.0,0.204,0.10108022130815511,0.276
17,0.012134411517984962,0.056,-0.0020708094233559435,0.124,-0.004883848631319319,0.288,0.004221969753099748,0.256
18,0.01567964348906416,0.136,0.0,0.104,-0.014586525108404254,0.26,0.061286983863328745,0.512
19,0.0034909312833943194,0.08,-0.014861681030301457,0.12,-0.015379591534651462,0.26,0.01420981278009701,0.432
20,0.026774340223817382,0.092,0.0,0.104,-0.018057570956209287,0.268,0.03354829267010718,0.456
21,0.0034662498654811774,0.104,0.0,0.104,0.0,0.204,0.08033283883692821,0.332
22,0.008477389260119686,0.104,0.0,0.104,-0.023811101496947023,0.236,0.013483594118307497,0.716
23,0.010534954663460236,0.056,-0.01443824269477838,0.108,-0.00020715903862930874,0.296,0.13698214320308008,0.344
24,0.03425547295568826,0.116,-3.297729972736006e-05,0.104,-0.01868763074974911,0.26,0.16240978238059822,0.308
25,0.005412895056940811,0.136,-0.0006363160701924411,0.104,-0.01725047116763674,0.216,0.009938583791599833,0.788
26,0.0020206098451724793,0.092,-0.008375982852795495,0.128,-0.03303579415300885,0.24,0.012850014175739041,0.38
27,0.04178191102714714,0.056,-0.010341179460292484,0.168,-0.011475348506562105,0.268,0.21002524044238224,0.308
28,0.005827426980215414,0.076,-0.014072084988413686,0.12,-0.03249018912003404,0.232,0.036126601602297026,0.412
29,0.04384248322421634,0.056,0.0,0.104,-0.01208625455600958,0.256,0.09273189325648182,0.364
30,0.02692233863607937,0.132,0.0,0.104,-0.021334039114989427,0.24,0.06419650267392932,0.392
31,0.017771632826445404,0.124,0.0,0.104,-0.02758401871910593,0.244,0.00998930055183855,0.412
32,0.008952254059193065,0.088,0.0,0.104,-0.004173911625996242,0.232,0.0910503021149144,0.464
33,0.01357553684906554,0.08,0.0,0.104,-0.00290298929658793,0.244,0.011526411779686085,0.516
34,0.020743770046546626,0.112,0.0,0.104,-0.022959452778500998,0.244,0.014870809763599988,0.728
35,0.016019718911004285,0.096,0.0,0.104,0.0,0.204,0.06922462336394919,0.256
36,0.005640237410946198,0.148,-0.0013649020600616443,0.12,-0.0046880003414995,0.252,0.06800881940967995,0.432
37,0.07748275736461545,0.116,-0.08050613725577237,0.18,-0.16781959353249623,0.204,0.06800749201401882,0.296
38,0.05217865042362277,0.124,-0.053134874368558155,0.188,-0.12194658500509606,0.204,0.5284459229051988,0.284
39,0.027046354659025024,0.124,-0.03847346159738102,0.18,-0.14396482637825397,0.204,0.38810021672156353,0.3
40,0.019727747067915104,0.128,-0.049663974639793086,0.18,-0.09386708335935083,0.204,0.27145458145703677,0.352
41,0.14762738214499568,0.096,-0.0857707380572586,0.164,-0.0821778212181361,0.204,0.06477985884970408,0.284
42,0.012033535032253998,0.064,-0.16930182629522292,0.176,-0.3274427661151849,0.204,0.07576058145032555,0.324
43,0.02804062951806383,0.124,-0.0381497291356582,0.184,-0.1667677076173117,0.204,0.18853143619804205,0.312
44,0.008590021478084289,0.112,-0.062043438237292727,0.168,-0.09391544199321222,0.204,0.06073449491728991,0.412
45,0.0629211595781968,0.108,-0.030203506393016846,0.184,-0.1258569822416454,0.204,0.09624467964474226,0.36
46,0.10755082452632547,0.1,-0.056222888250895324,0.172,-0.09268036386214935,0.204,0.44751334059803566,0.304
47,0.07610951454575485,0.112,-0.05137650432025264,0.184,-0.16886692259214722,0.204,0.11569592397649942,0.368
48,0.06383890226284468,0.116,-0.04859628299294175,0.188,-0.13539599472945954,0.204,0.16804524496124498,0.524
49,0.016753345956634986,0.128,-0.01246462253687467,0.188,-0.03863471345892286,0.204,0.14788466163775177,0.292
50,0.07441950479890229,0.12,-0.014544618981466955,0.196,-0.1693170912967188,0.204,0.05159506862109352,0.36
51,0.0685464766666595,0.108,-0.03777514742930314,0.18,-0.05422674785362474,0.204,0.44582191462412596,0.304
52,0.010092539065261563,0.056,-0.008657859709522406,0.104,-0.038376470914987665,0.248,0.2563000043399114,0.332
53,0.020964758509723614,0.116,-0.05654373954292522,0.168,-0.1018270418536246,0.204,0.09864663769567264,0.356
54,0.029632814524265708,0.128,-0.015480562899037834,0.188,-0.13290402367332627,0.212,0.41395889647140005,0.46
55,0.006880657418394069,0.116,-0.029950141306216687,0.172,-0.09116837771295602,0.204,0.06001806884695953,0.36
56,0.0644118063459726,0.12,-0.05758179340696397,0.18,-0.14190812450350743,0.204,0.17164596048065883,0.312
57,0.0006611916610456681,0.056,-0.09819413074166544,0.104,-0.1489299067388941,0.204,0.0835683435052895,0.312
58,0.015708124817823438,0.128,-0.04227451958198817,0.18,-0.1646332367841739,0.204,0.006161298742390894,0.384
59,0.08814302932525937,0.112,-0.043029166637275,0.188,-0.11680480290933512,0.204,0.42339030226090885,0.288
60,0.03191870141538644,0.116,-0.12112300841985693,0.172,-0.21566644996734696,0.204,0.11112719942966218,0.308
61,0.0003707717920987914,0.124,-0.06184156380809801,0.156,-0.09560871769945695,0.24,0.1957440780281807,0.384
62,0.0,0.056,-0.0743597958922936,0.104,-0.06255196060360048,0.216,0.0548446391382544,0.3
63,0.06227970087190128,0.056,-0.011751157724315352,0.104,-0.054732101717605744,0.264,0.35397633025598685,0.32
64,0.06300077671250968,0.108,-0.02820400368646513,0.18,-0.034065383988838946,0.204,0.43061012335124194,0.296
65,0.060681953891878956,0.124,-0.0016519168362926556,0.104,-0.03736805934039976,0.252,0.264243602332041,0.312
66,0.08494224278912703,0.112,-0.08081234479369387,0.176,-0.16954023928950124,0.204,0.1271092434812658,0.356
67,0.00880263095815996,0.056,-0.08211155900344672,0.104,-0.03484402766708547,0.232,0.46708839698634513,0.3
68,0.0001615790874835243,0.144,-0.08388523472158992,0.18,-0.26423564728381266,0.204,0.0,0.256
69,0.0,0.056,-0.08087228204701456,0.148,-0.10871925686592432,0.204,0.0,0.256
70,0.08934681393957503,0.108,-0.032357915928405194,0.18,-0.12207195582095617,0.204,0.061985128067515605,0.372
71,0.07658978993382945,0.112,-0.02944843263848027,0.188,-0.11790205445106348,0.204,0.1956669504590814,0.4
72,0.09448703468178862,0.108,-0.04792494940274311,0.184,-0.1428762967915945,0.204,0.30788547641499703,0.3
73,0.016419855336806614,0.128,-0.020866849220001968,0.188,-0.20345038620484446,0.216,0.04192142786176765,0.464
74,0.001573238924549055,0.124,-0.04637490912296074,0.176,-0.10796200465013002,0.204,0.03139184090943996,0.328
