,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175
animal,0,12,15,25,26,34,53,75,87,105,107,112,128,130,131,134,146,151.0,214.0,236.0,241.0,245.0,284.0,287.0,315.0,321.0,323.0,326.0,332.0,334.0,349.0,371.0,387.0,404.0,406.0,423.0,426.0,427.0,428.0,434.0,471.0,476.0,487.0,495.0,496.0,497.0,502.0,504.0,525.0,545.0,554.0,578.0,600.0,601.0,602.0,603.0,638.0,644.0,666.0,675.0,684.0,688.0,694.0,695.0,718.0,722.0,743.0,761.0,774.0,781.0,798.0,815.0,825.0,845.0,862.0,875.0,884.0,889.0,907.0,909.0,917.0,933.0,937.0,938.0,939.0,964.0,992.0,1014.0,1016.0,1017.0,1018.0,1026.0,1042.0,1056.0,1057.0,1070.0,1080.0,1084.0,1085.0,1092.0,1105.0,1106.0,1145.0,1157.0,1170.0,1173.0,1198.0,1211.0,1220.0,1221.0,1226.0,1228.0,1249.0,1258.0,1265.0,1266.0,1267.0,1282.0,1285.0,1288.0,1301.0,1306.0,1359.0,1384.0,1393.0,1396.0,1397.0,1409.0,1414.0,1418.0,1459.0,1471.0,1472.0,1476.0,1477.0,1514.0,1517.0,1528.0,1529.0,1541.0,1556.0,1568.0,1603.0,1612.0,1614.0,1635.0,1659.0,1664.0,1736.0,1779.0,1781.0,1797.0,1831.0,1845.0,1849.0,1851.0,,,,,,,,,,,,,,,,,,,,
bird,274,321,323,372,446,525,526,537,574,608,693,760,811,1084,1091,1121,1130,1140.0,1145.0,1160.0,1171.0,1248.0,1330.0,1395.0,1591.0,1690.0,1733.0,1768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
body part,22,36,161,242,319,330,538,552,564,569,588,628,733,744,780,877,911,1031.0,1052.0,1053.0,1063.0,1431.0,1456.0,1458.0,1560.0,1653.0,1668.0,1675.0,1678.0,1685.0,1842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clothing,33,37,67,90,104,118,119,137,144,150,157,163,169,178,180,182,185,218.0,230.0,266.0,273.0,306.0,353.0,358.0,369.0,418.0,419.0,425.0,458.0,459.0,518.0,570.0,604.0,614.0,650.0,659.0,680.0,747.0,751.0,757.0,763.0,768.0,776.0,791.0,792.0,831.0,836.0,842.0,846.0,859.0,872.0,873.0,878.0,885.0,912.0,918.0,932.0,944.0,968.0,1008.0,1010.0,1034.0,1058.0,1087.0,1090.0,1099.0,1107.0,1108.0,1109.0,1110.0,1125.0,1205.0,1216.0,1259.0,1317.0,1352.0,1377.0,1411.0,1422.0,1423.0,1424.0,1425.0,1426.0,1430.0,1457.0,1468.0,1486.0,1489.0,1495.0,1525.0,1554.0,1559.0,1580.0,1589.0,1592.0,1593.0,1597.0,1606.0,1658.0,1669.0,1682.0,1724.0,1737.0,1738.0,1744.0,1745.0,1747.0,1759.0,1766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clothing accessory,67,118,119,150,157,180,210,230,458,459,659,747,757,763,768,1034,1125,1259.0,1377.0,1589.0,1658.0,1682.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
container,34,41,69,76,82,125,130,170,181,209,236,250,259,346,387,433,460,496.0,533.0,601.0,612.0,758.0,790.0,802.0,840.0,853.0,866.0,907.0,923.0,950.0,960.0,984.0,1073.0,1113.0,1157.0,1172.0,1175.0,1350.0,1427.0,1621.0,1647.0,1704.0,1722.0,1729.0,1749.0,1760.0,1787.0,1824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dessert,57,65,132,204,237,257,270,314,338,421,439,442,461,505,544,609,646,647.0,674.0,724.0,725.0,726.0,816.0,818.0,844.0,922.0,945.0,1002.0,1030.0,1119.0,1124.0,1152.0,1168.0,1169.0,1225.0,1246.0,1380.0,1429.0,1497.0,1498.0,1582.0,1615.0,1663.0,1769.0,1800.0,1810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drink,113,250,304,374,377,460,549,560,612,677,685,803,854,866,901,915,973,1001.0,1002.0,1036.0,1254.0,1474.0,1490.0,1491.0,1569.0,1601.0,1631.0,1632.0,1647.0,1757.0,1787.0,1823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electronic device,27,247,290,293,394,395,897,996,1011,1242,1273,1302,1388,1549,1610,1624,1641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food,17,29,32,43,51,55,57,81,96,102,132,133,158,194,196,197,211,220.0,225.0,228.0,239.0,243.0,255.0,256.0,282.0,289.0,297.0,312.0,313.0,325.0,327.0,335.0,337.0,347.0,349.0,378.0,386.0,400.0,403.0,408.0,413.0,415.0,429.0,437.0,440.0,442.0,445.0,451.0,464.0,481.0,487.0,496.0,513.0,532.0,543.0,546.0,547.0,551.0,556.0,572.0,626.0,641.0,645.0,658.0,698.0,701.0,711.0,717.0,719.0,730.0,739.0,740.0,756.0,761.0,788.0,805.0,812.0,816.0,818.0,820.0,839.0,865.0,867.0,890.0,898.0,939.0,950.0,952.0,971.0,976.0,977.0,979.0,987.0,988.0,989.0,990.0,1004.0,1035.0,1042.0,1044.0,1045.0,1061.0,1066.0,1069.0,1075.0,1076.0,1077.0,1092.0,1104.0,1122.0,1123.0,1124.0,1126.0,1131.0,1132.0,1153.0,1156.0,1167.0,1168.0,1189.0,1192.0,1196.0,1223.0,1234.0,1239.0,1261.0,1262.0,1289.0,1292.0,1309.0,1323.0,1348.0,1349.0,1357.0,1359.0,1362.0,1364.0,1365.0,1373.0,1380.0,1386.0,1394.0,1401.0,1429.0,1438.0,1475.0,1498.0,1499.0,1500.0,1503.0,1504.0,1505.0,1521.0,1524.0,1528.0,1544.0,1551.0,1557.0,1568.0,1573.0,1575.0,1588.0,1605.0,1613.0,1618.0,1665.0,1673.0,1687.0,1688.0,1729.0,1754.0,1757.0,1770.0,1805.0,1837.0,1848.0
